,FinalLat,FinalLong,Distillery
0,-6.28380622016,55.7560243235,Bowmore
1,-6.35936447624,55.7684732961,Bruichladdich
2,-4.23912032627,57.6885606641,Dalmore
3,-2.47933235113,56.8466257985,OldFettercairn
4,-3.08526137375,58.4348844804,OldPulteney
5,-3.905230532,57.5376098703,RoyalBrackla
6,-2.99542118081,58.963721379,Scapa
